,id,HotelName,sponsor,event,venue,City&Country,measurements,occasion,notes,call_number,keywords,language,date,place,place_type,currency,currency_symbol,status,page_count,dish_count
4881,21266,,NORDDEUTSCHER LLOYD BREMEN,SPEISENFOLGE,COMMERCIAL,"SCHNELLDAMPFER ""HOHENZOLLERN""",FOLDER; ILLUS; COL; 5.25X7.5;,,"GERMAN & ENGLISH; ILLUSTRATION OF STEAMSHIP AT SEA, SURROUNDED BY 3 SEA NYMPHS; CONCERT PROGRAMM ON BACK COVER;",1901-936,,,1901-04-16,Norddeutscher Lloyd Bremen,,,,complete,4,40
17528,35503,The Merchant's Club,The Merchant's Club,,,,,,1 image,1913-0734_wotm,,,1913-09-23,The Merchant's Club,,Dollars,$,complete,1,18
759,13473,,,,,,,,,,,,1900-05-21,La Noche Buena,,Dollars,$,complete,2,182
6382,23185,,FLAT IRON RESTAURANT AND CAFE,DINNER SPECIALS,COMMERCIAL,"NEW YORK, NY",CARD; ILLUS; COL; 6.6X12;,,A LA CARTE DINNER MENU; DECORATIVE SKETCHES ON MENU;,1907-142,,,1907-01-28,Flat Iron Restaurant And Cafe,,Dollars,$,complete,2,49
206,12717,,ST. LOUIS HORSE SHOW ASSOCIATION,BANQUET,SOC;,SAINT LOUIS CLUB,FOLDER; ILLUS; 3X5;,,FRENCH & ENGLISH; WINES INCLUDED; MUSE ILLUSTRATION ON COVER;,1900-4860,,,1900-11-03,St. Louis Horse Show Association,,,,complete,4,18
7365,24405,,NORMAN E. MACK,DINNER TO J.F.BURKE AND H.M.GERRANS,SOC;,"HOTEL IROQUOIS, BUFFALO, NY",CARD; ILLUS; COL; 4X11.25;,COMPLIMENTARY/TESTIMONIAL,WINES LISTED WITH COURSE; MENU IN FRENCH; GRAY STOCK; EMBOSSED PURPLE VIOLETS AND LILY-OF-THE-VALLEY ON TOP OF CARD;,1908-134,,,1908-02-08,Norman E. Mack,,,,complete,2,21
7676,24816,,SHOE AND LEATHE MANUFACURERS,BANQUET TO THE WESTERN ASSOCIAION OF SHOE WHOLESALERS,PROF;,"HOTEL PFISTER, MILWAUKEE WI",BOOKLET; ILLUS; 5.5 X 8.25;,COMPLIMENTARY/TESTIMONIAL,WINES WITH EACH COURSE; DRAWINGS OF LEGS AND SHOES; COVER OF EMBOSSED PAPER;,1906-979,,,1906-12-21,Shoe And Leathe Manufacurers,,,,complete,10,22
8505,25844,,SECOND PANEL SHERIFF'S JURY,ANNUAL BANQUET,,"DELMONICO'S, N.Y.",BOOK; ILL; 10.5X11.25,ANNUAL EVENT,LEATHER BOOK; GEORGE A MEYER STAMPED IN GOLD ON COVER; SEVEN DIFFERENT SCENES BY DIFFERENT ARTISTS OF FULL SIZE ILLUSTRATIONS ON SEPERATE PAGES MARKED AS SOUVENIR 1891 1891-006,1891-006,,,1891-01-15,Second Panel Sheriff's Jury,,,,complete,23,59
1446,14496,,,,,,,,,,,,1901-10-07,Fall River Line,,Dollars,$,complete,2,187
17369,35280,Astor House,Astor House,,,,,,Zeta Psi Banquet,1913-0508_wotm,,,1913-05-23,Astor House,,Dollars,$,complete,4,532
2608,16768,,NIPPON YUSEN KAISHA,DINNER,COMMERCIAL,SS KOBE MARU,BROADSIDE;ILLUS;COL;10.25X9.5;,DAILY;,ILLUSTRATION OF CHILDRENS'PARADE;MAP OF ROUTES;,1900-4260,,,1900-09-01,Nippon Yusen Kaisha,,,,complete,2,16
6835,23747,,HAMBURG-AMERIKA LINIE,DINNER,COMMERCIAL,"SCHNELLDAMPFER ""AUGUSTE VICTORIA""",FOLDER; ILLUS; COL; 4.5X6.75;,,GERMAN & ENGLISH; ILLUSTRATION OF SAILBOAT WITH STEAMSHIP IN BACKGROUND; MUSICAL PROGRAM ON BACK;,1901-826,,,1901-04-02,Hamburg Amerika Linie,,,,complete,4,28
2370,16359,,,,,,,,,,,,1907-11-26,The Aero Club Of The United Kingdom,,,,complete,8,15
1469,14521,,NORDDEUTSCHER LLOYD  BREMEN,DINNER,COMMERCIAL,EN ROUTE ABOARD DAMPFER LAHN,CARD; COL; ILLUS; 5.5 X 8.25;,,MENU IN GERMAN AND ENGLISH;SHIPS AT SEA; BACK OF CARD PRINTED AS POSTCARD FOR MAILING;,1901-1301,,,1901-05-15,Norddeutscher Lloyd  Bremen,,,,complete,2,22
17360,35265,Waldorf Astoria,Waldorf Astoria,,,,,,The Traffic Squad of the Police Department of the City of New York,1913-0493_wotm,,,1913-05-17,Waldorf Astoria,,Dollars,$,complete,4,20
11190,28701,,Limberlock Lodge,,,,25.5x18cm folded; 25.5x35.5cm open,,,1959-0062_wotm,,,1959-09-06,Limberlock Lodge,,Dollars,$,complete,2,24
16595,34257,Waldorf Astoria,Waldorf Astoria,,,,21.5x13.5cm ,,,1914-0959_wotm,,,1914-10-08,Waldorf Astoria,,Dollars,$,complete,2,267
13904,31494,,Hotel Victoria,,,,18x23cm,,The Pilgrims,1931-0008_wotm,,,1931-03-04,Hotel Victoria,,,,complete,2,24
11046,28554,,Virdan Restaurant,,,,34x24cm folded; 34x48cm open,,,1957-0092_wotm,,,1957-08-06,Virdan Restaurant,,Dollars,$,complete,6,134
16455,34110,Cliff House,Cliff House,,,,18x11.5cm folded; 18x23cm open,,,1914-0812_wotm,,,1914-08-06,Cliff House,,,,complete,5,8
15435,33051,Hotel Athens,Hotel Athens,,,,28x18cm  ,,,1917-0544_wotm,,,1917-11-18,Hotel Athens,,Dollars,$,complete,2,274
12165,29687,,Barbizon Plaza,,,,30.5x23cm folded; 30.5x45.5cm open,,,1944-0007_wotm,,,1944-02-14,Barbizon Plaza,,Dollars,$,complete,4,143
1300,14248,,BAILEY CATERING COMPANH,DINNER,COMMERCIAL,"ELECTRIC TOWER RESTAURANT,PAN AMERICAN EXPOSITION",FOLDER; COL; 5.5X8.5;,DAILY;,WINE LIST; CAUTIONARY NOTE TO PATRONS WITH FACSIMILE OF CHECK ILLUSTRATED;,1901-2184,,,1901-08-21,Bailey Catering Companh,,Dollars,$,complete,2,171
8235,25511,,TAMPA BAY HOTEL,DINNER,COMMERCIAL,"TAMPA,FL",FOLDER;ILL;COL;4.5X7.25;,DAILY;,HOTEL EMBLEM;,1901-762,,,1901-03-26,Tampa Bay Hotel,,,,complete,4,47
13526,31113,,The Commodore Hotel,,,,33x21.5cm,,lobby café,1933-0215_wotm,,,1933-05-16,The Commodore Hotel,,Dollars,$,complete,1,170
16820,34521,Waldorf-Astoria,Waldorf-Astoria,,,,,,Corinthian Chapter No. 159,1912-0705_wotm,,,1912-11-12,Waldorf-Astoria,,Dollars,$,complete,1,135
4254,20609,,TOYO KISEN KAISHA,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,BROADSHEET; ILLUS; 6.5 X 7.75;,DAILY MENU;,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-4435,,,1900-09-22,Toyo Kisen Kaisha,,,,complete,2,24
8419,25739,,NORDDEUTSCHER LLOYD BREMEN,FRUHSTUCK,COMMERCIAL,"SCHNELLDAMPFER ""HOHENZOLLERN""",CARD; ILLUS; COL; 5.25X8;,,"GERMAN & ENGLISH; ILLUSTRATION OF STEAMSHIP SURROUNDED BY SMALLER BOATS; TABLE SETTING WITH LOBSTER, WINE CARAFE, TANKARD, GLASSES;",1901-834,,,1901-04-04,Norddeutscher Lloyd Bremen,,,,complete,2,76
7863,25057,,CAFETERIA - LUNCH,DAILY BILL OF FARE,COMMERCIAL,57 BROAD ST.NY,FOLDER; ILLUS; 5.5 X 9.5;,DAILY,ONE PAGE HANDWRITTEN DAILY SPECIAL DISHES;,1900-698,,,1900-02-01,Cafeteria   Lunch,,Dollars,$,complete,4,115
